area,percorso_menu,voce,form_o_prg,copertura,evidenza_web,reason_code,note,metodo_classificazione
clienti,clienti > Business unit,Stampa vendite giornaliere per fascia oraria,menu_vengora,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Business unit > Gestione collaboratori,Gestione anagrafica,per000,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori,Gestione contratti,pdvcontr,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Gestione calendario,Cancellazione,menu_caleli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Gestione calendario,Generazione automatica,menu_calgen,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Gestione calendario,Gestione,menu_cal000,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Gestione compensi,Conferma compensi provvisori in definitivi,menu_confcomp,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Gestione compensi,Gestione compensi mensili (provvisiori),menu_gestcomp,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Gestione compensi,Produzione compensi mensili (provvisori),menu_prodcomp,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Gestione compensi,Stampa compensi mensili (definitivi),menu_stamcomp,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Gestione compensi,Stampa compensi mensili (provvisori),menu_stamcomp,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Gestione delle coperture,Gestione coperture al servizio di vendita,menu_coppdv,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Gestione delle coperture,Stampa coperture al servizio di vendita,menu_stamass,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Gestione entrate/uscite di ogni collaboratore,Inserimento movimenti,menu_movicoll,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Gestione entrate/uscite di ogni collaboratore,Stampa movimenti,menu_stammovi,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Stampe varie,Disposizione bancaria di pagamento,menu_stamdisb,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Stampe varie,Estratto conto azienda,menu_stamesaz,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Stampe varie,Estratto conto collaboratore,menu_stamesco,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Stampe varie,Gestione estratto conto aziendale,menu_geseca,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Stampe varie,Lettera di avviso pagamento,menu_stamavvp,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Stampe varie,Ritenute d'acconto,menu_stamrita,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Trasferimento dati con contabilità generale,Assegni pagati,menu_trasasse,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Business unit > Gestione collaboratori > Trasferimento dati con contabilità generale,Gestione flag per ritrasmissione assegni,menu_flagasse,NON_APPLICABILE,,WRITE_SIDE,Utility/manutenzione: gestionale,pattern-refine
clienti,clienti > Business unit > Gestione collaboratori > Trasferimento dati con contabilità generale,Gestione flag per ritrasmissione rit. acconto,menu_flagriac,NON_APPLICABILE,,WRITE_SIDE,Utility/manutenzione: gestionale,pattern-refine
clienti,clienti > Business unit > Gestione collaboratori > Trasferimento dati con contabilità generale,Movimenti di entrata/uscita,,MANCANTE,,,,default
clienti,clienti > Business unit > Gestione collaboratori > Trasferimento dati con contabilità generale,Ritenute d'acconto,menu_trasriac,MANCANTE,,,,default
clienti,clienti > Business unit > Monitoraggio business unit,Monitoraggio casse,menu_monicasse,MANCANTE,,,,default
clienti,clienti > Business unit > Monitoraggio business unit,Monitoraggio visitatori del punto di vendita,menu_monivisit,MANCANTE,,,,default
clienti,clienti > Cambi,Aggiornamento,menu_val000,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Cambi,Controllo/attribuzione automatica cambi fatture,menu_vvaver,MANCANTE,,,,default
clienti,clienti > Cambi,Creazione archivio valute euro,menu_vvavalu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Cambi,Preleva cambi dal sito banca d'italia,cambi_giornalieri,MANCANTE,,,,default
clienti,clienti > Comuni,Gestione comuni,menu_comuni,MANCANTE,,,,default
clienti,clienti > Comuni,Gestione province,menu_province,MANCANTE,,,,default
clienti,clienti > Comuni,Gestione regioni,menu_regioni,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Bolle di reso a fornitori,Aggiornamento,menu_bolfor,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Bolle di reso a fornitori,Annullo con selezione,menu_resannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Bolle di reso a fornitori,Annullo per periodo,menu_reseli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Bolle di reso a fornitori,Situazione bolle di reso a fornitore,menu_reselend,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Bolle di reso da clienti,Aggiornamento,menu_rdc000,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Bolle di reso da clienti,Annullo con selezione,menu_rdcannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti,Aggiornamento,menu_bol000,MIGRATO,/ddt,,Consultazione web agganciata via FORM_TO_URL,FORM_TO_URL
clienti,clienti > Documenti di trasporto > Consegna a clienti,Aggiornamento altri dati documenti di trasporto,menu_bolaggdati,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti,Annullo con selezione,menu_bolannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti,Annullo per periodo,menu_boleli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti > Elenchi,Elenco clienti che non hanno ritirato merce dal al,menu_bolriti,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti > Elenchi,Elenco d.d.t.,menu_boltest,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti > Elenchi,Elenco d.d.t. con dettagli,menu_bolstele,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti > Elenchi,Elenco ddt che non sono state fatturate,menu_eleboldafat,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti > Procedure di supporto,Gestione certificati di conformità,menu_cer000,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Consegna a clienti > Procedure di supporto,Stampa giornaliera del consegnato (fiscale),menu_bofconse,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a clienti > Procedure di supporto,Stampa sul modulo per periodo,menu_bolper,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a fornitori,Aggiornamento,menu_bolfor,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Consegna a fornitori,Annullo con selezione,menu_bofannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Documenti di reso da business unit,Aggiornamento,menu_bfo000,MIGRATO,/ddt-fornitore,,Consultazione web agganciata via FORM_TO_URL,FORM_TO_URL
clienti,clienti > Documenti di trasporto > Documenti di reso da business unit,Annullo con selezione,menu_bfoannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Documenti di reso da business unit,Annullo per periodo,menu_bfoeli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Documenti di reso da business unit,Elenco documenti di reso dei pdv,menu_bfoelen,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Gestione packing list,Annullo con selezione,menu_pckannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione packing list,Annullo per periodo,menu_pckeli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione packing list,Creazione documenti di trasporto,menu_pcktoddt,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione packing list,Creazione packing list per il prelievo,menu_lispreli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione packing list,Elenco packing list,menu_pcktest,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Gestione packing list,Generazione file per agenzia delle entrate,menu_genfilefisco,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione packing list,Prelievo da packing list,menu_evapck,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Gestione packing list,Ristampa packing list,menu_rispack1,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Gestione piani di trasporto,Annullo piani di trasporto,pbg_packing_da_ord_annu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione piani di trasporto,Annullo verifica consegne e ritiri,pbg_consegne_ddt_annu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione piani di trasporto,Creazione ddt da piani di trasporto,pbg_pck_da_ord_toddt,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Gestione piani di trasporto,Gestione piani di trasporto,pbg_packing_da_ordini,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Gestione piani di trasporto,Statistica piani di trasporto,pbg_pck_da_ord_stat,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Gestione piani di trasporto,Verifica consegne/ritiri per conferma fatturazione,pbg_consegne_ddt,MANCANTE,,,,default
clienti,clienti > Documenti di trasporto > Pre-bolle di reso a fornitori (per pdv),Aggiornamento,menu_prb000,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Pre-bolle di reso a fornitori (per pdv),Annullo con selezione,menu_prbannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Pre-bolle di reso a fornitori (per pdv),Annullo per periodo,menu_prbeli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Pre-bolle di reso a fornitori (per pdv),Conferma prebolle di reso,menu_prbconf,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Pre-bolle di reso a fornitori (per pdv),Creazione bolle di reso,submenu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Documenti di trasporto > Pre-bolle di reso a fornitori (per pdv),Elenco prebolle di reso,menu_prbelens,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Documenti di trasporto > Pre-bolle di reso a fornitori (per pdv),Gestione flag creazione pre-bolle di reso,menu_prbflgs,NON_APPLICABILE,,WRITE_SIDE,Utility/manutenzione: gestionale,pattern-refine
clienti,clienti > Fatture clienti,Aggiornamento,menu_fat000,MIGRATO,/fatture,,Consultazione web agganciata via FORM_TO_URL,FORM_TO_URL
clienti,clienti > Fatture clienti,Annullo con selezione,menu_fatannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti,Annullo per periodo,menu_fateli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti,Duplicazione fatture,menu_duplfatfap,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti,Gestione budget di vendita,menu_bud_am000,MANCANTE,,,,default
clienti,clienti > Fatture clienti,Gestione incasso fatture clienti,menu_fatture_incassate,MANCANTE,,,,default
clienti,clienti > Fatture clienti,Riepilogo contributo ambientale conai,menu_riconai,MANCANTE,,,,default
clienti,clienti > Fatture clienti,Sblocco documenti di trasporto già fatturati,menu_bolsbloc,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti,Stampa elenco contributo polieco per periodo,menu_prtpolieco,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Creazione fatture da documenti di trasporto,Generazione fatture da ddt,menu_ord_bol_tofat,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti > Creazione fatture messa disposizione bombole (MDB),Annullo contrattI bombole MDB,menu_contrmdb_annu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti > Creazione fatture messa disposizione bombole (MDB),Calcolo mensile MDB,,MANCANTE,,,,default
clienti,clienti > Fatture clienti > Creazione fatture messa disposizione bombole (MDB),Creazione fatture di consumo/noleggio MDB,pbg_ord_bol_tofat,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti > Creazione fatture messa disposizione bombole (MDB),Gestione contratti bombole (MDB),menu_contrmdb,MANCANTE,,,,default
clienti,clienti > Fatture clienti > Creazione note di credito,Creazione nota accredito da documento di reso,menu_retoncr_multi,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti > Creazione note di credito,Creazione nota accredito da più d.d.t. per reso,menu_retoncr_multi,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco clienti senza tipo di fatturazione,menu_clinotip,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture ancora da contabilizzare,menu_elefatdacon,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture con dettagli,menu_fatstage,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture con valore venduto,menu_fatsta00,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture per agente con provvigioni,menu_provagen,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture per cliente,menu_fattrac,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture per magazzino,menu_fatmaga,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture per periodo,menu_fattras,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Elenco fatture per vettore,menu_vettfatt,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Elenchi fatture,Stampa verifica congruenza fatture/DDT,menu_ddttofat_chk,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture clienti > Procedure di supporto,Gestione c/anticipi fatture estere,menu_conantnew,MANCANTE,,,,default
clienti,clienti > Fatture clienti > Procedure di supporto,Protocollo automatico delle fatture emesse,menu_fatprot,MANCANTE,,,,default
clienti,clienti > Fatture clienti > Procedure di supporto,Protocollo manuale fatture,menu_fatprman,MANCANTE,,,,default
clienti,clienti > Fatture proforma,Aggiornamento,menu_fap000,MIGRATO,/proforma,,Consultazione web agganciata via FORM_TO_URL,FORM_TO_URL
clienti,clienti > Fatture proforma,Annullo con selezione,menu_fapannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture proforma,Annullo per periodo,menu_fapeli,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture proforma,Duplicazione fatture proforma,menu_duplfatfap,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture proforma,Elenco fatture proforma con dettagli,menu_fapstage,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture proforma,Elenco fatture proforma per periodo,menu_faptras,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Fatture proforma,Protocollo automatico delle fatture emesse,menu_fapprot,MANCANTE,,,,default
clienti,clienti > Fatture proforma > Crea documenti,Crea fattura da fattura proforma con selezione,menu_faptofat,MANCANTE,,,,default
clienti,clienti > Fatture proforma > Crea documenti,Generazione fattura proforma da ordine cliente,menu_ordtofap,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture proforma > Crea documenti,Generazione fatture proforma da ddt,menu_ddttofap,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture proforma > Crea documenti,Sblocca ordine per ricreare la fattura proforma,menu_ordflgfap,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Fatture proforma > Crea documenti,Sblocco/blocco fatture proforma fatturate,menu_fapflgs,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni,Creazione interventi da preventivi,menu_offtoint,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni,Gestione impianti,menu_impianti,MANCANTE,,,,default
clienti,clienti > Interventi/riparazioni,Manutenzioni programmate impianti,menu_manutenzione_impianti,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni,Pianificazione interventi,planner_interventi,MANCANTE,,,,default
clienti,clienti > Interventi/riparazioni > Gestione interventi/riparazioni,Aggiornamento,menu_inr000,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione interventi/riparazioni,Annullo interventi tecnici,menu_inrannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione interventi/riparazioni,Chiusura/apertura interventi tecnici,menu_sbloccint,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione interventi/riparazioni,Creazione fatture da interventi,menu_int_to_fat,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione interventi/riparazioni,Elenco interventi riparazioni,menu_inrelen,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione listini impianti,Duplica listini impianti,menu_lisimpdup,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione listini impianti,Gestione listini impianti,,MANCANTE,,,,default
clienti,clienti > Interventi/riparazioni > Gestione richieste intervento,Elenco richieste interventi,menu_elenco_richieste_int,NON_APPLICABILE,,PRINT_REPORT,Stampa/report legacy,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione richieste intervento,Elimina richieste intervento,menu_ricintannu,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Interventi/riparazioni > Gestione richieste intervento,Richiesta intervento,menu_richieste_interventi,MANCANTE,,,,default
clienti,clienti > Listini > Abilita listini,Aggiornamento,menu_lig000,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Listini > Abilita listini,Convalida,menu_ligsitu,MANCANTE,,,,default
clienti,clienti > Listini > Gestione listini > Gestione listini di vendita aziendale/articolo,Aggiornamento,menu_lis000av,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Listini > Gestione listini > Gestione listini di vendita aziendale/articolo,Annullo listini  di vendita azienda/articoli,menu_lisannav,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
clienti,clienti > Listini > Gestione listini > Gestione listini di vendita aziendale/articolo,Cambio codice listino in anagrafica clienti,menu_clitlisti,NON_APPLICABILE,,WRITE_SIDE,Scrittura: riservata a slice Opus,pattern-label
